Timestamp (s),X-Position (%),Y-Position (%)
535408,34,32
535478,35,33
535507,35,34
535709,36,32
535808,36,31
536608,34,32
536843,34,33
536907,35,34
537809,33,31
537943,34,32
538038,34,32
538338,35,33
538503,35,33
538642,35,34
538907,35,34
539008,35,32
540041,33,31
540270,33,31
540610,35,32
540308,39,41
541507,38,39
541472,36,34
541672,35,31
542235,37,43
542570,36,32
542740,35,31
543743,35,33
543868,33,32
544007,32,31
544441,33,31
544540,34,32
544570,34,32
544905,34,31
544939,35,33
545244,35,33
545308,38,34
546104,36,32
546477,35,31
546537,35,32
546571,36,32
546607,37,33
546940,36,33
547271,37,38
547405,38,37
547505,38,36
547670,38,35
547775,36,33
547900,35,32
548738,34,32
548868,34,31
549333,37,35
549438,37,34
549673,35,31
550634,44,48
551039,36,33
551334,34,31
551509,36,32
552068,41,46
552138,42,47
552568,41,46
553000,42,47
552267,35,33
552333,35,34
552468,36,33
552906,36,35
552938,33,31
553167,34,30
553402,36,32
553502,36,35
555967,35,34
556171,37,38
557208,35,35
559906,40,40
560003,41,42
561701,35,34
562237,36,34
563205,40,46
563401,43,42
563465,42,41
563640,38,36
563701,37,35
564786,36,33
565637,36,34
566707,35,32
566808,35,33
566909,35,33
567204,34,33
567671,37,34
567831,37,34
568866,34,33
569001,34,33
569030,34,33
569071,34,34
569670,36,33
569773,36,33
569904,36,34
570430,34,32
570505,32,32
570565,28,32
571699,35,32
571935,36,34
571939,37,34
572437,31,32
573238,36,34
573802,36,35
574102,40,38
574704,36,34
575542,34,33
575600,35,34
576272,34,31
576431,37,33
576664,33,33
578008,33,32
578332,33,32
580169,36,33
580269,35,33
581201,34,31
581732,37,38
581802,37,38
582062,34,33
582168,33,32
582397,35,33
583482,36,33
583967,36,32
584075,40,43
584109,39,44
584876,34,33
585835,35,34
586065,36,33
586917,36,34
587167,37,32
587337,36,32
588235,38,33
588336,40,34
588400,40,34
589604,36,36
589604,43,38
589604,43,38
589604,51,38
589604,54,37
589604,57,37
589604,61,38
589604,65,38
589604,67,38
589604,36,33
589604,37,32
589604,36,31
589604,38,30
589604,38,31
589604,40,32
589604,41,33
589604,43,34
589604,44,33
589604,42,32
589604,43,31
589604,45,31
589604,46,32
589604,49,33
589604,51,34
590463,45,33
590663,47,34
590763,48,33
592563,38,36
592663,38,38
593263,37,37
593463,39,39
593863,36,32
594063,34,31
594263,34,31
594363,35,32
594463,36,33
594763,35,31
594863,37,32
594963,37,33
595063,37,33
596363,37,38
596563,37,38
598463,35,33
598563,35,33
600401,38,39
600466,38,41
600531,39,43
600965,35,33
601026,34,32
601231,35,32
601326,34,38
601101,37,40
602632,34,32
603100,35,33
603166,35,34
603433,36,36
603502,36,37
603532,36,37
603667,35,42
603767,41,40
604763,39,39
604896,39,38
605000,41,36
605101,40,35
605501,39,44
606127,39,39
606303,40,39
606468,36,36
606627,36,35
606768,37,35
607334,39,40
608232,33,33
609012,34,33
609234,38,35
609334,35,36
609762,38,34
611266,39,41
611330,40,43
611697,34,36
613764,37,37
613965,33,38
614232,35,33
615880,36,35
618833,35,33
619166,35,34
619363,39,34
619724,39,37
621465,38,37
622265,40,43
622570,39,39
622629,39,37
623861,41,47
624462,41,44
624596,41,42
625122,44,48
625228,43,43
621826,35,34
621992,38,34
622092,38,34
624498,35,34
626063,35,33
626258,45,46
626463,37,36
626528,38,36
626698,40,37
626893,37,32
626957,36,31
627527,44,49
627622,42,46
627727,39,42
627797,37,40
628027,34,35
628222,34,33
628262,34,32
629662,33,31
629727,34,31
629797,35,32
629862,35,34
629892,36,35
630096,37,38
630796,35,34
630891,36,36
631396,37,37
631596,36,35
631761,37,35
631826,38,36
632196,36,33
632332,35,31
632426,34,30
632595,38,39
632661,38,40
632831,40,39
632560,42,48
633560,41,48
633823,34,33
633923,34,33
634122,34,31
633829,37,38
634328,36,36
634489,37,38
634402,34,32
634460,33,30
634529,33,30
635162,36,37
635296,37,38
635528,38,39
635462,34,32
635561,34,31
636058,36,35
636366,34,31
636489,34,33
636495,34,33
637128,38,37
637354,37,38
637695,33,31
638635,34,32
638758,35,32
638794,38,32
638823,38,32
638993,37,36
639063,37,37
640828,38,41
641092,40,44
642100,38,39
643141,39,40
643466,39,40
643429,38,43
643787,37,35
643887,34,31
644063,35,32
644461,39,40
644591,39,42
644727,39,43
645186,40,41
646189,34,34
646253,36,35
646962,39,34
647088,42,42
647561,39,40
647656,40,44
647862,42,39
648354,40,34
648558,44,41
648694,43,43
649193,43,40
649858,33,30
650328,39,43
650457,41,44
650787,37,37
650852,39,39
650992,39,45
651128,40,40
651223,38,36
651457,34,27
651522,31,27
651861,42,47
651958,42,47
652127,42,47
652660,42,47
652727,42,47
652760,42,47
652794,42,47
652894,42,47
652894,42,47
652927,42,47
653024,42,47
653061,42,47
653094,42,47
653391,42,47
653524,42,47
653660,42,47
653694,42,47
653827,42,47
653960,42,47
654227,42,47
654260,42,47
654423,42,47
654460,42,47
654593,42,47
654627,42,47
654627,42,47
654790,42,47
654857,42,47
654893,42,47
655026,42,47
655126,42,47
655160,42,47
655193,42,47
655556,42,47
655690,42,47
